CollectedDate, CVEID, QuestionSetID, QIndex, JustificationValue,Explicitness, Inference, Completeness, Ambiguity, Contradiction,ExternalResources, JustificationComment
24/10/2025 12:30:16 PM,CVE-2023-22661,3bcb80ea-8143-4fcb-b3f6-f89921ce101c,0,5,2,4,1,1,1,"",""
24/10/2025 12:31:52 PM,CVE-2023-32877,3bcb80ea-8143-4fcb-b3f6-f89921ce101c,1,7,4,4,5,1,1,"",""
24/10/2025 12:33:19 PM,CVE-2023-22113,3bcb80ea-8143-4fcb-b3f6-f89921ce101c,2,7,4,5,5,1,1,"",""
24/10/2025 12:34:01 PM,CVE-2020-0529,3bcb80ea-8143-4fcb-b3f6-f89921ce101c,3,6,4,4,5,1,1,"",""
24/10/2025 1:11:44 PM,CVE-2022-20583,3bcb80ea-8143-4fcb-b3f6-f89921ce101c,4,7,5,4,5,1,1,"",""
24/10/2025 1:12:27 PM,CVE-2018-19164,3bcb80ea-8143-4fcb-b3f6-f89921ce101c,5,6,1,5,4,3,1,"",""
24/10/2025 1:16:02 PM,CVE-2021-25665,3bcb80ea-8143-4fcb-b3f6-f89921ce101c,6,5,1,2,3,5,1,"","Requires base knowledge of simcenter as a generic user-space application, which can be inferred"
24/10/2025 1:18:03 PM,CVE-2022-36464,3bcb80ea-8143-4fcb-b3f6-f89921ce101c,7,5,1,4,1,4,1,"","have to infer that setIPPortFilterRules must require some form of low or above requirements, Don't see why it couldn't be high in some cases."
24/10/2025 1:20:09 PM,CVE-2016-6188,3bcb80ea-8143-4fcb-b3f6-f89921ce101c,8,2,1,3,1,5,1,"SOGo","need SOGo knowledge, Don't see why it can't be None."
24/10/2025 1:25:27 PM,CVE-2023-6226,3bcb80ea-8143-4fcb-b3f6-f89921ce101c,9,6,3,5,4,1,1,"",""
24/10/2025 3:15:47 PM,CVE-2023-32877,3d177957-aa05-4312-a444-39f03cc18f0e,0,5,2,2,5,5,3,"",""
24/10/2025 9:29:45 PM,CVE-2022-20583,b8d11a60-f6b9-4679-8c12-d20f9aa83020,0,7,4,5,4,2,2,"",""
24/10/2025 9:31:59 PM,CVE-2021-23347,b8d11a60-f6b9-4679-8c12-d20f9aa83020,1,4,1,1,1,5,3,"",""
24/10/2025 9:33:02 PM,CVE-2020-12380,b8d11a60-f6b9-4679-8c12-d20f9aa83020,2,1,5,1,4,2,2,"",""
24/10/2025 9:33:58 PM,CVE-2019-5266,b8d11a60-f6b9-4679-8c12-d20f9aa83020,3,4,1,1,1,5,2,"",""
24/10/2025 9:35:05 PM,CVE-2023-5118,b8d11a60-f6b9-4679-8c12-d20f9aa83020,4,4,1,1,1,5,3,"",""
24/10/2025 9:35:23 PM,CVE-2021-45488,b8d11a60-f6b9-4679-8c12-d20f9aa83020,5,4,1,1,1,5,3,"",""
24/10/2025 9:35:40 PM,CVE-2023-38426,b8d11a60-f6b9-4679-8c12-d20f9aa83020,6,4,1,1,1,5,2,"",""
24/10/2025 10:17:37 PM,CVE-2022-40206,4469c545-e6e6-4e34-8b2d-b91128104548,0,6,4,4,4,2,2,"",""
24/10/2025 10:17:46 PM,CVE-2023-49088,b8d11a60-f6b9-4679-8c12-d20f9aa83020,7,7,3,4,3,4,2,"",""
24/10/2025 10:21:01 PM,CVE-2022-20583,4469c545-e6e6-4e34-8b2d-b91128104548,1,5,2,2,4,2,2,"",""
24/10/2025 10:22:34 PM,CVE-2017-14175,4469c545-e6e6-4e34-8b2d-b91128104548,2,4,1,1,1,5,1,"",""
24/10/2025 10:24:15 PM,CVE-2021-25665,4469c545-e6e6-4e34-8b2d-b91128104548,3,4,1,2,2,4,2,"",""
24/10/2025 10:25:44 PM,CVE-2021-32440,b8d11a60-f6b9-4679-8c12-d20f9aa83020,8,4,1,1,1,5,3,"",""
24/10/2025 10:25:59 PM,CVE-2021-32665,4469c545-e6e6-4e34-8b2d-b91128104548,4,4,2,2,2,4,3,"",""
24/10/2025 10:26:53 PM,CVE-2023-22771,4469c545-e6e6-4e34-8b2d-b91128104548,5,4,1,1,1,5,3,"",""
24/10/2025 10:27:03 PM,CVE-2021-46155,b8d11a60-f6b9-4679-8c12-d20f9aa83020,9,4,1,2,1,5,2,"",""
24/10/2025 10:27:33 PM,CVE-2022-20702,4469c545-e6e6-4e34-8b2d-b91128104548,6,4,1,1,1,5,1,"",""
24/10/2025 10:28:29 PM,CVE-2023-22661,4469c545-e6e6-4e34-8b2d-b91128104548,7,5,4,2,2,4,3,"",""
24/10/2025 10:29:15 PM,CVE-2023-49088,4469c545-e6e6-4e34-8b2d-b91128104548,8,7,5,5,5,1,1,"",""
24/10/2025 10:30:10 PM,CVE-2023-3160,4469c545-e6e6-4e34-8b2d-b91128104548,9,5,2,4,2,4,3,"",""
25/10/2025 1:39:54 AM,CVE-2019-8315,ed38e919-83c1-4705-9cee-4950d5112d73,0,3,1,3,2,4,2,"",""
25/10/2025 1:41:20 AM,CVE-2024-0684,ed38e919-83c1-4705-9cee-4950d5112d73,1,5,2,4,4,1,1,"",""
25/10/2025 2:04:25 AM,CVE-2022-20583,3190aaf7-df0f-4598-9166-6357eb91eb1d,0,6,3,4,5,2,1,"",""
25/10/2025 2:06:08 AM,CVE-2017-14175,3190aaf7-df0f-4598-9166-6357eb91eb1d,1,4,1,2,1,4,1,"",""
25/10/2025 2:07:16 AM,CVE-2021-23347,3190aaf7-df0f-4598-9166-6357eb91eb1d,2,5,1,4,4,4,1,"",""
25/10/2025 2:07:52 AM,CVE-2022-40206,3190aaf7-df0f-4598-9166-6357eb91eb1d,3,7,5,5,5,1,1,"",""
25/10/2025 2:09:00 AM,CVE-2020-12380,3190aaf7-df0f-4598-9166-6357eb91eb1d,4,7,5,5,5,1,1,"",""
25/10/2025 2:10:00 AM,CVE-2020-22722,3190aaf7-df0f-4598-9166-6357eb91eb1d,5,7,5,5,5,1,1,"",""
25/10/2025 2:11:15 AM,CVE-2023-22661,3190aaf7-df0f-4598-9166-6357eb91eb1d,6,5,4,3,4,2,1,"",""
25/10/2025 2:11:58 AM,CVE-2021-1507,3190aaf7-df0f-4598-9166-6357eb91eb1d,7,7,5,5,5,1,1,"",""
25/10/2025 2:12:24 AM,CVE-2022-2089,3190aaf7-df0f-4598-9166-6357eb91eb1d,8,7,5,5,5,1,1,"",""
25/10/2025 2:13:21 AM,CVE-2009-0115,3190aaf7-df0f-4598-9166-6357eb91eb1d,9,6,5,4,5,2,1,"",""
25/10/2025 2:44:19 AM,CVE-2021-32665,2f6e99ec-8006-4dd1-b50f-815d6d921fdb,0,6,1,2,3,3,1,"",""
25/10/2025 2:45:16 AM,CVE-2022-23683,eb1cbdca-a2eb-4848-9ddd-a2279fdf9bde,0,6,1,2,3,3,1,"",""
25/10/2025 2:46:11 AM,CVE-2023-3958,eb1cbdca-a2eb-4848-9ddd-a2279fdf9bde,1,5,4,4,4,3,1,"",""
25/10/2025 3:06:31 AM,CVE-2021-30860,05706c40-94d7-467f-a51c-f01abcd590bb,0,6,1,5,5,2,1,"",""
25/10/2025 3:09:53 AM,CVE-2022-20201,05706c40-94d7-467f-a51c-f01abcd590bb,1,8,4,1,1,5,1,"",""
25/10/2025 3:11:43 AM,CVE-2021-1507,05706c40-94d7-467f-a51c-f01abcd590bb,2,1,5,3,5,1,1,"",""
25/10/2025 3:12:47 AM,CVE-2021-25646,05706c40-94d7-467f-a51c-f01abcd590bb,3,7,5,3,5,1,1,"",""
25/10/2025 3:15:12 AM,CVE-2023-22661,05706c40-94d7-467f-a51c-f01abcd590bb,4,7,5,5,5,2,5,"","The impact & access is unclear, but it's clear that the user is required to be Privileged, therefore pr:h "
25/10/2025 3:16:19 AM,CVE-2020-12110,05706c40-94d7-467f-a51c-f01abcd590bb,5,4,1,1,1,1,1,"",""
25/10/2025 3:17:26 AM,CVE-2019-5266,05706c40-94d7-467f-a51c-f01abcd590bb,6,6,1,5,5,2,1,"",""
25/10/2025 5:38:16 AM,CVE-2020-22722,585a27bf-78f8-4ac5-bc02-37b450e3b853,0,7,5,5,4,1,2,"I used the CVE description alone.","I think there may be some ambiguity about the clause 'by placing a malicious .exe file in the application'.  I think this should clarify if it's referring to the filesystem."
25/10/2025 9:12:19 AM,CVE-2022-43455,6863dfef-bc96-4202-9e9d-ddbbe5c49079,0,5,2,3,2,4,3,"None, I used the CVE description only.","The CVE description describes modules of the software, which have the term 'service' included in the name.  In general, services are managed by an administrative/high-priv user, but it's unclear where the user input comes into play (would require some investigation)."
25/10/2025 9:15:24 AM,CVE-2020-5393,6863dfef-bc96-4202-9e9d-ddbbe5c49079,1,4,2,3,2,4,4,"I looked up an example CVE that has XSS to give a comparison (e.g., CVE-2024-29184)","Very limited description, seems to be missing certain parts that would otherwise be expected."
25/10/2025 9:19:36 AM,CVE-2021-30768,6863dfef-bc96-4202-9e9d-ddbbe5c49079,2,8,1,2,2,5,3,"I looked up the details and found the description lines up with CVE-2021-30776.","There is very limited information available to know what this vulnerability specifically impacts, or what the root cause is."
25/10/2025 9:20:47 AM,CVE-2023-3958,c441646d-5fed-4c55-9d81-ef6a347a9426,0,6,5,3,4,3,3,"",""
25/10/2025 9:21:53 AM,CVE-2023-49088,c441646d-5fed-4c55-9d81-ef6a347a9426,1,6,5,4,4,2,2,"",""
25/10/2025 9:23:33 AM,CVE-2022-23683,c441646d-5fed-4c55-9d81-ef6a347a9426,2,5,1,4,1,4,1,"",""
25/10/2025 10:16:21 AM,CVE-2023-5691,e4b0059d-3313-45b5-98db-95538b56a2b4,0,2,5,5,5,1,1,"",""
25/10/2025 10:17:59 AM,CVE-2019-17001,e4b0059d-3313-45b5-98db-95538b56a2b4,1,4,1,4,4,4,1,"","CVSS generally defaults to `privileges required: none` whenever privilege requirements aren't mentioned."
25/10/2025 10:20:20 AM,CVE-2020-12110,e4b0059d-3313-45b5-98db-95538b56a2b4,2,4,1,1,3,5,1,"",""
25/10/2025 10:21:10 AM,CVE-2020-22722,e4b0059d-3313-45b5-98db-95538b56a2b4,3,7,5,5,5,1,1,"",""
25/10/2025 10:24:17 AM,CVE-2021-25270,e4b0059d-3313-45b5-98db-95538b56a2b4,4,7,5,2,5,1,1,"",""
25/10/2025 10:24:53 AM,CVE-2023-32877,e4b0059d-3313-45b5-98db-95538b56a2b4,5,6,4,4,3,1,1,"",""
25/10/2025 10:25:27 AM,CVE-2023-6226,e4b0059d-3313-45b5-98db-95538b56a2b4,6,7,5,5,5,1,1,"",""
25/10/2025 10:26:04 AM,CVE-2022-40206,e4b0059d-3313-45b5-98db-95538b56a2b4,7,6,5,4,4,1,1,"",""
25/10/2025 10:26:52 AM,CVE-2022-43455,e4b0059d-3313-45b5-98db-95538b56a2b4,8,3,1,2,2,4,2,"",""
25/10/2025 10:27:18 AM,CVE-2020-5393,e4b0059d-3313-45b5-98db-95538b56a2b4,9,5,1,4,4,3,1,"",""
25/10/2025 2:45:14 PM,CVE-2023-5118,1cf968a7-1c2d-4e4c-9fea-475ba36f9a99,0,5,2,2,2,4,3,"I used the CVE description alone","Generally POST methods would be used for logged in or authenticated users. There is no statement about what level of authentication is needed (unauth, low auth, high auth)"
25/10/2025 2:48:48 PM,CVE-2021-46155,1cf968a7-1c2d-4e4c-9fea-475ba36f9a99,1,4,2,3,2,4,3,"None",""
25/10/2025 2:49:39 PM,CVE-2022-40206,1cf968a7-1c2d-4e4c-9fea-475ba36f9a99,2,6,5,5,4,1,1,"None","Fairly clear description which indicates which roles are applicable."
25/10/2025 2:51:04 PM,CVE-2009-0115,1cf968a7-1c2d-4e4c-9fea-475ba36f9a99,3,7,5,5,5,1,2,"","explicitly states local users, which could be anyone logged in (Low)"
25/10/2025 2:52:13 PM,CVE-2022-43455,1cf968a7-1c2d-4e4c-9fea-475ba36f9a99,4,5,2,4,3,4,3,"None","Mentions user input, in reference to a software module with service in the name, which generally would require higher privileges in most operating systems."
25/10/2025 2:53:20 PM,CVE-2019-17534,1cf968a7-1c2d-4e4c-9fea-475ba36f9a99,5,4,1,2,2,5,3,"None","Very short description without a lot of detail"
25/10/2025 2:54:31 PM,CVE-2023-22113,1cf968a7-1c2d-4e4c-9fea-475ba36f9a99,6,7,5,5,4,1,2,"None","The description is clear about privilege levels and authorization."
25/10/2025 3:17:23 PM,CVE-2021-25665,1cf968a7-1c2d-4e4c-9fea-475ba36f9a99,7,3,2,2,2,4,4,"","It mentions user-supplied files, which might infer that privileges are required (e.g., login)?"
25/10/2025 3:18:04 PM,CVE-2021-39656,1cf968a7-1c2d-4e4c-9fea-475ba36f9a99,8,7,5,5,4,1,2,"",""
25/10/2025 3:18:05 PM,CVE-2021-39656,1cf968a7-1c2d-4e4c-9fea-475ba36f9a99,8,7,5,5,4,1,2,"",""
25/10/2025 3:18:41 PM,CVE-2019-17001,1cf968a7-1c2d-4e4c-9fea-475ba36f9a99,9,6,2,4,4,4,2,"",""
26/10/2025 4:53:34 AM,CVE-2021-25270,21a5f5ac-0fbe-46a7-927d-24e3a5637dbf,0,2,1,5,2,4,4,"","The description does not imply that elevated privileges are required for the attack. It IMO implies Low instead of High."
26/10/2025 4:55:29 AM,CVE-2021-32440,21a5f5ac-0fbe-46a7-927d-24e3a5637dbf,1,4,1,2,1,5,2,"",""
26/10/2025 4:57:01 AM,CVE-2021-45665,21a5f5ac-0fbe-46a7-927d-24e3a5637dbf,2,4,1,1,1,5,1,"","There is absolutely no information about privilege requirements in the description."
26/10/2025 4:58:19 AM,CVE-2020-0529,21a5f5ac-0fbe-46a7-927d-24e3a5637dbf,3,6,4,4,3,3,3,"",""
26/10/2025 5:00:20 AM,CVE-2022-20583,21a5f5ac-0fbe-46a7-927d-24e3a5637dbf,4,3,2,3,2,4,4,"","The description sounds more like Low than High."
26/10/2025 5:01:34 AM,CVE-2023-22771,21a5f5ac-0fbe-46a7-927d-24e3a5637dbf,5,4,1,1,1,5,1,"",""
26/10/2025 5:02:39 AM,CVE-2021-32665,21a5f5ac-0fbe-46a7-927d-24e3a5637dbf,6,4,1,1,1,5,1,"",""
26/10/2025 5:03:10 AM,CVE-2022-29528,21a5f5ac-0fbe-46a7-927d-24e3a5637dbf,7,4,1,1,1,5,1,"",""
26/10/2025 5:03:41 AM,CVE-2019-17534,21a5f5ac-0fbe-46a7-927d-24e3a5637dbf,8,4,1,1,1,5,1,"",""
26/10/2025 5:05:19 AM,CVE-2023-3958,21a5f5ac-0fbe-46a7-927d-24e3a5637dbf,9,6,5,4,4,2,2,"",""
26/10/2025 11:10:59 AM,CVE-2021-1507,7dab8e8f-0d3e-4045-b242-4845b03d8b3b,0,6,5,2,3,2,1,"",""
26/10/2025 11:11:41 AM,CVE-2020-22722,7dab8e8f-0d3e-4045-b242-4845b03d8b3b,1,7,5,5,5,1,1,"",""
26/10/2025 11:12:10 AM,CVE-2023-3958,7dab8e8f-0d3e-4045-b242-4845b03d8b3b,2,7,5,5,5,1,1,"",""
26/10/2025 11:12:50 AM,CVE-2023-22661,7dab8e8f-0d3e-4045-b242-4845b03d8b3b,3,2,4,2,4,4,1,"",""
27/10/2025 11:17:54 PM,CVE-2020-22722,ec9c046f-44d0-470c-a18a-0c793c804e25,0,6,4,4,4,2,2,"None","Could be slightly improved by adding An attacker [with a low-privileged user access] can obtain admin privileges"
27/10/2025 11:21:42 PM,CVE-2021-1507,ec9c046f-44d0-470c-a18a-0c793c804e25,1,5,4,4,4,3,2,"",""
27/10/2025 11:26:34 PM,CVE-2022-2089,ec9c046f-44d0-470c-a18a-0c793c804e25,2,7,5,5,5,1,1,"",""
27/10/2025 11:27:48 PM,CVE-2023-6226,ec9c046f-44d0-470c-a18a-0c793c804e25,3,7,5,5,5,1,1,"",""
27/10/2025 11:28:29 PM,CVE-2022-22957,ec9c046f-44d0-470c-a18a-0c793c804e25,4,7,5,5,5,1,1,"",""
27/10/2025 11:30:07 PM,CVE-2021-25665,ec9c046f-44d0-470c-a18a-0c793c804e25,5,4,1,4,1,4,2,"",""
27/10/2025 11:31:03 PM,CVE-2023-3160,ec9c046f-44d0-470c-a18a-0c793c804e25,6,5,2,4,2,4,2,"",""
28/10/2025 1:25:07 AM,CVE-2021-25270,ec9c046f-44d0-470c-a18a-0c793c804e25,7,8,4,2,2,4,2,"",""
28/10/2025 1:26:25 AM,CVE-2021-30860,ec9c046f-44d0-470c-a18a-0c793c804e25,8,4,1,2,1,4,2,"",""
28/10/2025 1:27:30 AM,CVE-2020-15368,ec9c046f-44d0-470c-a18a-0c793c804e25,9,5,1,4,3,4,2,"",""
28/10/2025 2:56:12 AM,CVE-2021-45665,6f3cef6e-9f5c-49aa-952d-31d062f3f4de,0,4,1,1,1,5,1,"",""
28/10/2025 3:07:03 AM,CVE-2023-50771,6f3cef6e-9f5c-49aa-952d-31d062f3f4de,1,3,4,3,2,5,2,"",""
28/10/2025 3:08:17 AM,CVE-2020-9922,6f3cef6e-9f5c-49aa-952d-31d062f3f4de,2,6,1,4,3,4,3,"",""
28/10/2025 3:10:02 AM,CVE-2021-32665,6f3cef6e-9f5c-49aa-952d-31d062f3f4de,3,4,1,2,1,4,3,"",""
28/10/2025 3:10:58 AM,CVE-2023-38426,6f3cef6e-9f5c-49aa-952d-31d062f3f4de,4,4,1,1,2,4,3,"",""
28/10/2025 3:13:58 AM,CVE-2020-5393,6f3cef6e-9f5c-49aa-952d-31d062f3f4de,5,6,2,4,3,4,2,"",""
28/10/2025 3:15:35 AM,CVE-2020-22722,6f3cef6e-9f5c-49aa-952d-31d062f3f4de,6,7,5,4,5,2,2,"",""
28/10/2025 3:16:56 AM,CVE-2020-16244,6f3cef6e-9f5c-49aa-952d-31d062f3f4de,7,3,5,3,2,3,2,"",""
28/10/2025 3:17:26 AM,CVE-2022-29528,6f3cef6e-9f5c-49aa-952d-31d062f3f4de,8,4,1,1,1,5,2,"",""
28/10/2025 3:18:56 AM,CVE-2022-2089,6f3cef6e-9f5c-49aa-952d-31d062f3f4de,9,7,4,4,4,3,2,"",""
28/10/2025 12:18:31 PM,CVE-2020-9922,ea9550e9-aaa7-4e74-abf3-e586072a0032,0,6,1,4,3,1,1,"",""
28/10/2025 12:19:18 PM,CVE-2019-5266,ea9550e9-aaa7-4e74-abf3-e586072a0032,1,7,1,5,5,1,1,"",""
28/10/2025 12:21:24 PM,CVE-2020-12380,ea9550e9-aaa7-4e74-abf3-e586072a0032,2,5,5,1,1,5,3,"","'Local access' is ambiguous. Examples of local access include physical access, authenticated access, or local network access (e.g. RFC1918 subnet). Without this information, the detail in the CVE is close to useless for defenders to use."
28/10/2025 12:23:38 PM,CVE-2020-16244,ea9550e9-aaa7-4e74-abf3-e586072a0032,3,5,3,3,1,5,5,"","A weakness of CVE is the inability to document a 'combined' risk score of two otherwise low/medium risk issues. This CVE description is for not salting (PR: High) and IDOR (presumably, PR: None or PR: Low). As a result, it has a muddled description. Ideally the author documents a *single* issue in a CVE and describes the combined impact elsewhere."
28/10/2025 12:24:58 PM,CVE-2021-39656,ea9550e9-aaa7-4e74-abf3-e586072a0032,4,6,1,5,4,4,1,"",""
28/10/2025 12:26:21 PM,CVE-2021-32665,ea9550e9-aaa7-4e74-abf3-e586072a0032,5,7,5,5,5,1,1,"","The explicit description of trigger conditions allows even non-technical users to understand the priv requirements."
28/10/2025 12:27:32 PM,CVE-2021-32440,ea9550e9-aaa7-4e74-abf3-e586072a0032,6,4,1,1,1,5,1,"",""
28/10/2025 12:29:02 PM,CVE-2023-22661,ea9550e9-aaa7-4e74-abf3-e586072a0032,7,6,5,5,5,1,1,"","The use of the term 'privileged user' may be confusing to some readers, but is clear in the context that the PR clarifies that 'High' is for significant control, whereas 'privileged user' can also mean a relatively low level of privileged access."
28/10/2025 12:29:52 PM,CVE-2021-36955,ea9550e9-aaa7-4e74-abf3-e586072a0032,8,4,1,5,1,5,1,"",""
28/10/2025 12:30:52 PM,CVE-2022-29528,ea9550e9-aaa7-4e74-abf3-e586072a0032,9,4,1,1,1,5,1,"","The description alone doesn't clarify, but if you assume the PR is correct, the combined description + PR is enough to understand the issue in its entirety."
28/10/2025 1:41:31 PM,CVE-2019-5266,9717adb8-84a3-4fce-a1f6-7df7cb623fa2,0,5,1,3,2,4,2,"",""
28/10/2025 2:06:00 PM,CVE-2021-1507,78ec6e1a-b58a-4bbb-8568-2297eeca6260,0,6,4,4,2,3,2,"","Given that the name of the software is vManage, it is implied that the users of the software are system administrators, and it is unclear about whether there are other non-administrative users, such as end-users, on the system at all.

It is also implied that there will be various access levels within vManage, and that any user on the system (e.g. an administrator of only one managed system, or the super-admin of the vManage instance) can XSS any other user of the system.

So this sounds like 'low' to me."
28/10/2025 2:08:27 PM,CVE-2023-21371,78ec6e1a-b58a-4bbb-8568-2297eeca6260,1,7,4,2,2,4,2,"","The CVE description does not contain enough information to determine where a trust boundary might be crossed. It is implied that it is an escalation from administrator of the main system to code execution within a secure enclave, which is something that is never supposed to be possible. So 'high' seems justified."
28/10/2025 2:09:48 PM,CVE-2022-40206,78ec6e1a-b58a-4bbb-8568-2297eeca6260,2,6,4,4,4,2,2,"","Seems pretty clear; Subscriber implies a low level of privilege, perhaps even available to anyone in the world upon request."
28/10/2025 2:11:16 PM,CVE-2016-6188,78ec6e1a-b58a-4bbb-8568-2297eeca6260,3,4,2,2,2,4,2,"","SOGo is not something I've ever heard of, and this sentence does nothing to make clear what level of access is typically needed to upload things to it."
28/10/2025 2:13:11 PM,CVE-2017-14175,78ec6e1a-b58a-4bbb-8568-2297eeca6260,4,4,2,4,2,4,2,"","As a library, ImageMagick has no control of when its functions are made available to users; the authors have done the right thing and assumed the worst case."
28/10/2025 2:15:31 PM,CVE-2020-16244,78ec6e1a-b58a-4bbb-8568-2297eeca6260,5,2,4,4,3,2,2,"","It is implied that the product is a multi-user product with varying permission levels, and any permission level is sufficient to exploit a known IDOR (that was a different CVE). IMO, this should have been 'low'"
28/10/2025 2:17:33 PM,CVE-2019-8315,78ec6e1a-b58a-4bbb-8568-2297eeca6260,6,4,2,2,2,4,2,"","Based on the context of the product being a consumer router, which is a single-user system, I'm quite surprised to see 'low' privileges required. I would expect either 'none' or 'high'."
28/10/2025 2:18:29 PM,CVE-2020-22722,78ec6e1a-b58a-4bbb-8568-2297eeca6260,7,7,4,5,4,2,2,"",""
28/10/2025 2:19:45 PM,CVE-2022-29528,78ec6e1a-b58a-4bbb-8568-2297eeca6260,8,4,2,1,2,4,2,"","Without knowing what MISP is, this description gives nothing to understand the context in which the vulnerability exists."
28/10/2025 2:21:37 PM,CVE-2020-9922,78ec6e1a-b58a-4bbb-8568-2297eeca6260,9,6,2,4,4,3,2,"","Discussion of emails in MacOS implies MacOS as a client processing emails that have been sent to the MacOS user from uncontrolled entities on the internet. None makes sense to me."
28/10/2025 10:17:30 PM,CVE-2021-39656,31dad5e3-436c-4e33-97b3-e4566deb2441,0,7,5,4,4,2,3,"I googled 'system execution'",""
28/10/2025 10:19:22 PM,CVE-2020-5393,31dad5e3-436c-4e33-97b3-e4566deb2441,1,4,1,2,1,4,2,"",""
28/10/2025 10:20:45 PM,CVE-2021-25646,31dad5e3-436c-4e33-97b3-e4566deb2441,2,7,4,4,4,2,2,"",""
28/10/2025 10:21:39 PM,CVE-2021-45488,31dad5e3-436c-4e33-97b3-e4566deb2441,3,4,1,2,2,3,2,"",""
28/10/2025 10:23:44 PM,CVE-2016-6188,31dad5e3-436c-4e33-97b3-e4566deb2441,4,3,2,3,3,4,2,"","remote attacker could imply 'unauthenticated', but that is very vague"
28/10/2025 10:25:04 PM,CVE-2023-22113,31dad5e3-436c-4e33-97b3-e4566deb2441,5,7,5,3,4,2,2,"",""
28/10/2025 10:27:55 PM,CVE-2022-23683,31dad5e3-436c-4e33-97b3-e4566deb2441,6,3,4,2,2,4,3,"googled 'Authenticated command injection vulnerabilities'","'authenticated' points to some basic form of authentication, not to 'admin privileges'"
28/10/2025 10:29:01 PM,CVE-2009-0115,31dad5e3-436c-4e33-97b3-e4566deb2441,7,7,5,4,4,2,2,"",""
28/10/2025 10:29:57 PM,CVE-2020-16244,31dad5e3-436c-4e33-97b3-e4566deb2441,8,3,5,4,2,2,2,"",""
28/10/2025 10:32:43 PM,CVE-2024-0684,31dad5e3-436c-4e33-97b3-e4566deb2441,9,5,3,3,3,4,2,"","'user controlled' vaguely implies an authenticated user."
5/11/2025 1:41:04 AM,CVE-2020-1444,25b9975e-d3d6-4e97-9138-2647251c1c5b,0,3,1,3,2,5,3,"",""
5/11/2025 1:42:22 AM,CVE-2023-40057,25b9975e-d3d6-4e97-9138-2647251c1c5b,1,7,5,3,5,1,1,"",""
5/11/2025 1:44:50 AM,CVE-2019-8315,25b9975e-d3d6-4e97-9138-2647251c1c5b,2,4,1,2,1,5,2,"",""
5/11/2025 1:46:33 AM,CVE-2020-9922,25b9975e-d3d6-4e97-9138-2647251c1c5b,3,5,1,4,3,3,3,"",""
5/11/2025 1:47:37 AM,CVE-2022-32007,25b9975e-d3d6-4e97-9138-2647251c1c5b,4,5,1,5,3,4,2,"",""
5/11/2025 1:50:13 AM,CVE-2021-36955,25b9975e-d3d6-4e97-9138-2647251c1c5b,5,4,1,3,1,3,3,"Common Log File System",""
5/11/2025 1:51:14 AM,CVE-2019-17534,25b9975e-d3d6-4e97-9138-2647251c1c5b,6,4,1,1,1,5,2,"",""
5/11/2025 1:52:07 AM,CVE-2021-45488,25b9975e-d3d6-4e97-9138-2647251c1c5b,7,5,1,4,3,4,2,"",""
5/11/2025 1:53:16 AM,CVE-2017-14175,25b9975e-d3d6-4e97-9138-2647251c1c5b,8,5,1,3,2,4,2,"",""
5/11/2025 1:54:13 AM,CVE-2023-37837,25b9975e-d3d6-4e97-9138-2647251c1c5b,9,5,1,4,3,4,2,"",""
6/11/2025 12:36:24 PM,CVE-2019-17001,1148d0c6-894d-4149-ba4d-e4a2b032b419,0,4,1,3,2,4,1,"","I could understand the required privileges from the prior knowledge about CSP headers."
6/11/2025 12:38:34 PM,CVE-2023-22113,1148d0c6-894d-4149-ba4d-e4a2b032b419,1,7,5,4,4,3,2,"",""
6/11/2025 12:42:41 PM,CVE-2022-36609,1148d0c6-894d-4149-ba4d-e4a2b032b419,2,4,1,1,1,5,1,"",""
6/11/2025 12:45:33 PM,CVE-2023-22661,1148d0c6-894d-4149-ba4d-e4a2b032b419,3,7,4,5,4,2,1,"",""
6/11/2025 12:46:18 PM,CVE-2022-29528,1148d0c6-894d-4149-ba4d-e4a2b032b419,4,8,1,1,1,5,3,"",""
6/11/2025 12:47:42 PM,CVE-2021-32665,1148d0c6-894d-4149-ba4d-e4a2b032b419,5,6,2,4,4,4,2,"",""
6/11/2025 12:49:24 PM,CVE-2021-1507,1148d0c6-894d-4149-ba4d-e4a2b032b419,6,7,5,5,5,1,1,"",""
6/11/2025 12:51:58 PM,CVE-2023-3160,1148d0c6-894d-4149-ba4d-e4a2b032b419,7,4,1,2,1,4,3,"",""
6/11/2025 12:54:43 PM,CVE-2023-3958,1148d0c6-894d-4149-ba4d-e4a2b032b419,8,7,5,5,5,1,3,"",""
6/11/2025 12:56:49 PM,CVE-2023-38426,1148d0c6-894d-4149-ba4d-e4a2b032b419,9,4,1,1,1,4,3,"",""
10/11/2025 6:23:47 PM,CVE-2023-22113,25d87fd3-bd5d-4ba3-b616-dec72f7d6729,0,8,5,5,5,5,5,"",""
10/11/2025 6:24:04 PM,CVE-2023-3958,25d87fd3-bd5d-4ba3-b616-dec72f7d6729,1,1,1,1,1,1,1,"",""
